"";"Empleo";"Sueldo";"Empresa";"Ciudad";"Vacantes";"Fecha";"Experiencia";"Contrato";"Area";"Sub-area";"Nivel";"Sector";"Nivel educativo";"Requisitos";"Descripcion";"Serial";"Link"
"56";"Ténico mecánico/electricista en equipos de patio y arrastre nivel 1";"Salario a convenir";"Ténico mecánico/electricista en equipos de patio y arrastre nivel 1";"Cartagena";"1";" 1 Abr 2020";"2 años de experiencia";"Contrato Indefinido";"Mantenimiento";"Tecnología en electrónica";"Auxiliar, asistencial y otros";"Transporte";"Tecnológica";"";"Se requiere técnico o tecnólogo mecánico, electricista, electrónico, electromecánico o en mantenimiento de motores diesel, con mínimo dos años de experiencia en mantenimiento preventivo y correctivo con conocimientos en Lubricación, mantenimiento básico de motores y sistemas eléctricos e interpretación de planos electrohidráulicos. Indispensable tener licencias de conducción.";"1884376088";"https://www.elempleo.com/co/ofertas-trabajo/tenico-mecanicoelectricista-en-equipos-de-patio-y-arrastre-nivel-/1884376088"
"57";"Supervisor de descargadero";"$5,5 a $6 millones";"Supervisor de descargadero";"Toda Colombia";"1";" 31 Mar 2020";"4 años de experiencia";"1884493966";"Mantenimiento";"Ingeniería de petróleos";"Profesional";"NULL";"Técnico Laboral";"";"Profesional en inqenieria mecánica, civil, eléctrica, electrónica, mecatrónica, electromecánica, industrial, sistemas. Técnico o tecnólogo mecánico, eléctrico, electrónico, electromecánico, sistemas, o carreras a fines
Experiencia específica: Titulo Universitario: 4 Años. Tecnologo: 8 Años . Técnico: 10 Años.
Sin titulo: 12 Años
Experiencia en equipo de bombeo
Competencias demostradas en la operación de equipos de generación eléctrica
Conocimiento de sistema de medición hidrocarburos";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-descargadero/1884493966"
"58";"Auxiliar de seguridad física y protección.";"$2 a $2,5 millones";"Auxiliar de seguridad física y protección.";"Cartagena";"1";" 31 Mar 2020";"Menos de un año de experiencia";"Contrato Indefinido";"Calidad (aseguramiento, gestión ...";"Ingeniería industrial";"Auxiliar, asistencial y otros";"Transporte";"Formación Tec profesional";"";"Organización requiere personal técnico, tecnólogo ó estudiante de pregrado en formación, en aéreas a fines con el control de calidad, administración, gestión portuaria, control de procesos, criminalística ó gestión logística, con o sin experiencia.";"1884445526";"https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-seguridad-fisica-y-proteccion/1884445526"
"59";"Supervisor de descargadero";"$5,5 a $6 millones";"Supervisor de descargadero";"Toda Colombia";"1";" 31 Mar 2020";"4 años de experiencia";"1884493966";"Mantenimiento";"Ingeniería de petróleos";"Profesional";"NULL";"Técnico Laboral";"";"Profesional en inqenieria mecánica, civil, eléctrica, electrónica, mecatrónica, electromecánica, industrial, sistemas. Técnico o tecnólogo mecánico, eléctrico, electrónico, electromecánico, sistemas, o carreras a fines
Experiencia específica: Titulo Universitario: 4 Años. Tecnologo: 8 Años . Técnico: 10 Años.
Sin titulo: 12 Años
Experiencia en equipo de bombeo
Competencias demostradas en la operación de equipos de generación eléctrica
Conocimiento de sistema de medición hidrocarburos";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-descargadero/1884493966"
"60";"Supervisor de descargadero";"$5,5 a $6 millones";"Supervisor de descargadero";"Toda Colombia";"1";" 31 Mar 2020";"4 años de experiencia";"1884493966";"Mantenimiento";"Ingeniería de petróleos";"Profesional";"NULL";"Técnico Laboral";"";"Profesional en inqenieria mecánica, civil, eléctrica, electrónica, mecatrónica, electromecánica, industrial, sistemas. Técnico o tecnólogo mecánico, eléctrico, electrónico, electromecánico, sistemas, o carreras a fines
Experiencia específica: Titulo Universitario: 4 Años. Tecnologo: 8 Años . Técnico: 10 Años.
Sin titulo: 12 Años
Experiencia en equipo de bombeo
Competencias demostradas en la operación de equipos de generación eléctrica
Conocimiento de sistema de medición hidrocarburos";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-descargadero/1884493966"
"61";"Residente postventas- cartagena";"Salario a convenir";"Residente postventas- cartagena";"Cartagena";"1";" 26 Mar 2020";"1 año de experiencia";"1884492120";"Construcción y Obra";"Arquitectura";"Profesional";"Consultorías / Asesorías";"Universitaria";"";"Objetivo General: Garantizar el cumplimiento de entregas a propietarios en la fecha establecida, con las
características de calidad y especificaciones ofrecidas en el proceso de venta.
Acompañar al propietario durante el tiempo de garantía y en consolidación con la
comunidad.
Experiencia Minimo 1 años
Educación: Profesional en Ingeniería civil, Arquitectura, Construcción y Gestión de la Arquitectura o carreras afines.";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/residente-postventas-cartagena/1884492120"
"62";"Jefe de call center";"$4 a $4,5 millones";"Jefe de call center";"Cartagena";"1";" 3 Abr 2020";"3 años de experiencia";"1884495840";"Comercial, Ventas y Telemercadeo";"Economía";"Profesional";"Consumo masivo";"Universitaria";"";"Importante Cadena de Supermercados en la Ciudad de Cartagena requiere un experto en call center para liderar esta área, diseñando estrategias comerciales, gestionando el desempeño de los operadores de su equipo asegurando el cumplimiento de los objetivos del servicio, supervisando y controlando la gestión del equipo de agentes de call center, así como del cumplimiento de sus objetivos y funciones, analizando los indicadores de gestión a su cargo. Debe ser profesional en carreras administrativas. Indispensable experiencia liderando centros y/o equipos de call center. Conocimientos en herramientas de marketing y ventas.";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/jefe-de-call-center/1884495840"
"63";"Analista de crédito en sibundoy";"Menos de $1 millón";"Analista de crédito en sibundoy";"Toda Colombia";"1";" 3 Abr 2020";"Menos de un año de experiencia";"Contrato Indefinido";"Administrativa y Financiera";"Comercio internacional";"Profesional Junior";"NULL";"Técnico Laboral";"";"En el Banco W buscamos hombres y mujeres con pasión, calidad humana, amor por el servicio; personas que nos ayuden a convertir en realidad los sueños de los colombianos, por que cambiar vidas es nuestra misión únete a este reto como Analista de Crédito. Ofreciendo créditos a las diferentes personas micro empresarias. Para participar es importante que seas técnico, tecnólogo, debes tener experiencia mínima de 6 meses en ventas de productos y servicios bancarios, con facilidad para cerrar negocios, conseguir clientes y recuperar cartera. Labor totalmente externa, es importante tener medio de transporte; los primeros 4 meses, el contrato será a través de una empresa temporal con sus prestaciones sociales, salario mínimo +comisiones +rodamiento, al quinto mes si tienes buenos resultados, esperamos vincularlos al banco con salario base de 1.484.200+comisiones+rodamiento+prima extra legal al año. Horario de lunes a viernes de 7:30 am a 6:00 pm y sábados medio tiempo de 8:00 AM a 12:00 PM.";"1884495917";"https://www.elempleo.com/co/ofertas-trabajo/analista-de-credito-en-sibundoy/1884495917"
"64";"Interventor civil";"$4 a $4,5 millones";"Interventor civil";"Toda Colombia";"1";" 3 Abr 2020";"5 años de experiencia";"Contrato Por obra o labor";"Proyectos (análisis, desarrollo,...";"Ingeniería civil";"Profesional Senior";"Consultorías / Asesorías";"Universitaria";"";"""Profesionales de ingeniería civil con experiencia general no menor de ocho
(8) años y experiencia específica de cinco (5) años mínimo como inspector de obra o interventoría de construcción de infraestructura de acueducto o alcantarillado.""
""Dentro de la experiencia específica debe demostrar haber participado como Inspector de obra o interventoría en por lo menos un (1) proyecto que incluya la construcción de tuberías con diámetros iguales o superiores a 36” en una longitud no menor a 5 kilómetros o un (1) proyecto que incluya el suministro e instalación de equipos mecánicos, eléctricos, de instrumentación y control para estaciones de bombeo de agua potable o centrales hidroeléctricas con una capacidad total superior de 6 MW o Un
(1) proyecto que incluya la construcción de estructuras hidráulicas con un
volumen de concreto mayor a 1800 m3.""";"1884495794";"https://www.elempleo.com/co/ofertas-trabajo/interventor-civil/1884495794"
"65";"Jefe de call center";"$4 a $4,5 millones";"Jefe de call center";"Cartagena";"1";" 3 Abr 2020";"3 años de experiencia";"1884495840";"Comercial, Ventas y Telemercadeo";"Economía";"Profesional";"Consumo masivo";"Universitaria";"";"Importante Cadena de Supermercados en la Ciudad de Cartagena requiere un experto en call center para liderar esta área, diseñando estrategias comerciales, gestionando el desempeño de los operadores de su equipo asegurando el cumplimiento de los objetivos del servicio, supervisando y controlando la gestión del equipo de agentes de call center, así como del cumplimiento de sus objetivos y funciones, analizando los indicadores de gestión a su cargo. Debe ser profesional en carreras administrativas. Indispensable experiencia liderando centros y/o equipos de call center. Conocimientos en herramientas de marketing y ventas.";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/jefe-de-call-center/1884495840"
"66";"Auxiliar de archivo cartagena o alrededores 6 meses de experiencia";"Menos de $1 millón";"Auxiliar de archivo cartagena o alrededores 6 meses de experiencia";"Cartagena";"1";" 2 Abr 2020";"Menos de un año de experiencia";"Contrato Definido";"Archivo y Documentación";"Auxiliar archivo";"Auxiliar, asistencial y otros";"Servicios";"Formación Tec profesional";"";"Te gusta el area de archivo esta oportunidad es para ti. importante y prestigiosa multinacional, Líder a nivel nacional en procesos de gestión documental, Necesita contratar de manera inmediata auxiliar de archivo con tecnico o tecnologo en procedimientos y sistemas de archivo, con 6 meses de experiencia en: Conocimiento y habilidad en digitalización, Servicio al cliente. horario de lunes a sabado, turnos rotativos, salario $ 999.400 + todo lo de ley. si cumples con el perfil no dudes en aplicar.";"1884495078";"https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-archivo-cartagena-o-alrededores-meses-de-experiencia/1884495078"
"67";"Administrador cartagena";"$3 a $3,5 millones";"Administrador cartagena";"Cartagena";"1";" 2 Abr 2020";"3 años de experiencia";"Contrato Indefinido";"Salud";"Administración de empresas";"Profesional";"Salud";"Especialización";"";"Multinacional especializada en dialisis requiere ADMINISTRADOR para administrar unidad renal en la ciudad de Cartagena , debe tener experiencia de 3 años en sala de hemodialisis y conocimientos de diálisis peritoneal, competencias como lider, excelente trabajo en equipo. contrato a termino indefinido directo por la empresa.";"1884495181";"https://www.elempleo.com/co/ofertas-trabajo/administrador-cartagena/1884495181"
"68";"Coordinador de transporte cartagena";"$2 a $2,5 millones";"Coordinador de transporte cartagena";"Cartagena";"1";" 2 Abr 2020";"2 años de experiencia";"Contrato Indefinido";"Distribución o logística de Tran...";"Ingeniería industrial";"Profesional";"NULL";"Tecnológica";"";"Tecnólogo en logística o preferiblemente profesional en Logística , Ingeniería Industrial o Administración de empresas con experiencia de 2 años en transporte de carga a Nivel Nacional , debe contar con conocimientos en normatividad legal de transporte, ubicacion geográfica , negociacion de fletes, contar con base de datos para consecucion vehicular, manejo de transportadores terceros y propios, pagos a transportadores , costos y eficiencias de la operacion de transporte, anticipos, facturacion e indicadores de gestion diaria de la operacion.";"1884378669";"https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-transporte-cartagena/1884378669"
"69";"Director zonal medico - cartagena 220121";"$5,5 a $6 millones";"Director zonal medico - cartagena 220121";"Cartagena";"1";" 2 Abr 2020";"4 años de experiencia";"1884495414";"Comercial, Ventas y Telemercadeo";"Medicina";"Coordinador supervisor o especialista";"Salud";"Especialización";"";"Importante empresa del Sector Salud requiere Director Zonal Medico, profesional en medicina con especialización en gerencia de salud, administración en salud o afines. Experiencia mínima de cuatro (4) años en administración del recurso humano, administración en EPS, responder por resultados en salud en términos de calidad, costo y riesgo; relación y negociación con prestadores de servicios de salud de la zona e implementación de estrategias de mejoramiento continuo. Tipo de contrato: Indefinido. Salario: $ 6.051.000";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/director-zonal-medico-cartagena-/1884495414"
"70";"Coordinador de transporte cartagena";"$2 a $2,5 millones";"Coordinador de transporte cartagena";"Cartagena";"1";" 2 Abr 2020";"2 años de experiencia";"Contrato Indefinido";"Distribución o logística de Tran...";"Ingeniería industrial";"Profesional";"NULL";"Tecnológica";"";"Tecnólogo en logística o preferiblemente profesional en Logística , Ingeniería Industrial o Administración de empresas con experiencia de 2 años en transporte de carga a Nivel Nacional , debe contar con conocimientos en normatividad legal de transporte, ubicacion geográfica , negociacion de fletes, contar con base de datos para consecucion vehicular, manejo de transportadores terceros y propios, pagos a transportadores , costos y eficiencias de la operacion de transporte, anticipos, facturacion e indicadores de gestion diaria de la operacion.";"1884378669";"https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-transporte-cartagena/1884378669"
"71";"Recycling plant operations manager";"Salario a convenir";"Recycling plant operations manager";"Cartagena";"1";" 1 Abr 2020";"5 años de experiencia";"Contrato Por obra o labor";"Operaciones y Procesos";"Otra";"Gerente";"NULL";"Universitaria";"";"Job Title: Recycling Plant Operations manager

Peachtree Networks is a growing international telecom company with multiple international offices that offers talented and driven individuals the opportunity to grow their career in an exciting and professional field.

At Peachtree Networks we cover 100% of your Medical Insurance fees (after probation period)

Responsibilities:
Identify bottlenecks. Adjusting and reallocate resources strategically
Define, propose and implement the annual plan
Identify and set the target for projects’ timeframes
Manage and evaluate procedures to ensure productivity, efficiency, accuracy and minimize downtime
Develop and implement policies and procedures for catastrophic loss (CAT) situations
Analyze budgets and continuously monitor and control production costs and identify/rectify waste measures
Implement cost control procedures
Manage all teams within the production department in conjunction with the HR department
Coordinate after-hours emergency crews and work as required
Identify performance measurements and propose actions needed to improve performance
Follow all safety policies and procedures to support a safe working environment, including safe operation of machines and equipment
Implement and enforce quality control and tracking programs to meet quality objectives
Utilize equipment in the most productive way, arrange maintenance on equipment, assist on the equipment procurement process

The ideal candidate will possess:
Post-secondary courses in business/project/construction management
5 years Construction/Restoration/Insurance experience preferred
3 years’ experience in a leadership role
Experience in recycling plants
Experience and knowledge of provincial health & safety standards
Knowledge of project management
Willing to work evenings, on-call and weekends when requested
COPASST support, investigation of work accidents, indicators and safety inspections";"1884426090";"https://www.elempleo.com/co/ofertas-trabajo/recycling-plant-operations-manager/1884426090"
"72";"NULL";"NULL";"NULL";"NULL";"1";" 1 Abr 2020";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"";"NULL";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/medico-epmsc-cartagena/1884494763"
"73";"Desarrollador de software java";"$3,5 a $4 millones";"Desarrollador de software java";"Toda Colombia";"1";" 1 Abr 2020";"3 años de experiencia";"Contrato Indefinido";"Proyectos (análisis, desarrollo,...";"Ingeniería de sistemas Computación";"Profesional";"Tecnología";"Universitaria";"";"ITAC S.A., Requiere Desarrollador Java Estudiante de ultimo semestre o profesional en Ingeniería de sistemas y /o afines, experiencia mínima de 3 años en Desarrollo de software. INDISPENSABLE experiencia utilizando lenguaje Java con springboot (Thread, conocimientos del estándar Java EE,) experiencia en angular y contenedores como docker. Conocimiento básico en redes (Protocolo HTTP , HTTPS,TCP/IP) , Conocimiento del funcionamiento de los diferentes servidores de aplicaciones (Glassfish, WebLogic,Jboss). Contrato a término indefinido, crecimiento profesional , estabilidad laboral y buen clima laboral.
Posibilidad de trabajo remoto en toda Colombia (TeleTrabajo)";"1884494598";"https://www.elempleo.com/co/ofertas-trabajo/desarrollador-de-software-java/1884494598"
"74";"Account manager e-scrap";"$2 a $2,5 millones";"Account manager e-scrap";"Cartagena";"1";" 1 Abr 2020";"1 año de experiencia";"1884494767";"Comercial, Ventas y Telemercadeo";"Comercio internacional";"Profesional Senior";"NULL";"Universitaria";"";"Peachtree Networks is a growing international telecom company with multiple international offices that offers talented and driven individuals the opportunity to grow their career in an exciting and professional field.

Since our establishment, we have recognized the importance of attracting and developing a well trained, diversified and committed workforce. We are committed to providing our people with the intensive training and career development opportunities, a dynamic, professional and challenging environment, and the best equal employment opportunity practices.

Peachtree Networks has a proven track record of delivering services and support on a global scale. We see obstacles as challenges and take pride in overcoming them.
We take pride in our employees and acknowledge it as a foundation for our ongoing success.

Responsibilities:
Contact existing account to provide reverse logistic service
Find and develop new customers
Grow and establish a business relationship at all levels from Warehouse manager to directors and chiefs in the Telcom industry
Identify and qualify e-scrap opportunities
Build business cases
Make offers on e-scrap and offer reverse logistic service
Negotiation
Maintain a volume of opportunities on a monthly bases
Work proactively to find the new niches where we can buy e-scrap";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/account-manager-escrap/1884494767"
"75";"Ténico mecánico/electricista en equipos de patio y arrastre nivel 1";"Salario a convenir";"Ténico mecánico/electricista en equipos de patio y arrastre nivel 1";"Cartagena";"1";" 1 Abr 2020";"2 años de experiencia";"Contrato Indefinido";"Mantenimiento";"Tecnología en electrónica";"Auxiliar, asistencial y otros";"Transporte";"Tecnológica";"";"Se requiere técnico o tecnólogo mecánico, electricista, electrónico, electromecánico o en mantenimiento de motores diesel, con mínimo dos años de experiencia en mantenimiento preventivo y correctivo con conocimientos en Lubricación, mantenimiento básico de motores y sistemas eléctricos e interpretación de planos electrohidráulicos. Indispensable tener licencias de conducción.";"1884376088";"https://www.elempleo.com/co/ofertas-trabajo/tenico-mecanicoelectricista-en-equipos-de-patio-y-arrastre-nivel-/1884376088"
"76";"Auxiliar de enfermería";"Salario a convenir";"Auxiliar de enfermería";"Cartagena";"1";" 1 Abr 2020";"1 año de experiencia";"Contrato Definido";"Salud";"Enfermería";"Auxiliar, asistencial y otros";"NULL";"Técnico Laboral";"";"UBICACIÓN: Cartagena. Importante empresa de sector salud, requiere para su equipo de trabajo Auxiliar de toma de muestras con experiencia mínima de un año.";"1884494814";"https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-enfermeria/1884494814"
"77";"Auxiliar de seguridad física y protección.";"$2 a $2,5 millones";"Auxiliar de seguridad física y protección.";"Cartagena";"1";" 31 Mar 2020";"Menos de un año de experiencia";"Contrato Indefinido";"Calidad (aseguramiento, gestión ...";"Ingeniería industrial";"Auxiliar, asistencial y otros";"Transporte";"Formación Tec profesional";"";"Organización requiere personal técnico, tecnólogo ó estudiante de pregrado en formación, en aéreas a fines con el control de calidad, administración, gestión portuaria, control de procesos, criminalística ó gestión logística, con o sin experiencia.";"1884445526";"https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-seguridad-fisica-y-proteccion/1884445526"
"78";"Asesor comercial constructora";"$2,5 a $3 millones";"Asesor comercial constructora";"Cartagena";"1";" 31 Mar 2020";"2 años de experiencia";"Contrato Por obra o labor";"Construcción y Obra";"Ingeniería civil";"Profesional";"NULL";"Universitaria";"";"Importante empresa del sector construccion requiere Profesional en Ingeneria Industrial o Civil, Administracion de empresas o Mercados. Experiencia de dos años en el sector o ventas de productos intangibles. Persona con habilidad comercial y alto nivel de compromiso. Salario Mínimo + comisiones sin techo. Horario Domingo a Domingo.";"1884494252";"https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-constructora/1884494252"
"79";"Supervisor de entrega y recibo de equipos";"$1,5 a $2 millones";"Supervisor de entrega y recibo de equipos";"Cartagena";"1";" 31 Mar 2020";"1 año de experiencia";"Contrato Indefinido";"Administración: servicios generales";"Técnico en Gestión Empresarial";"Auxiliar, asistencial y otros";"Transporte";"Técnico Laboral";"";"Organización requiere personal técnico o tecnólogo con experiencia en trabajo de campo y en horarios de turnos rotativos, domino de equipos de comunicación, sistemas de información y administración, gestión y recepción de documentos.
*Indispensable contar con Licencia de conducción A1 ó A2, (Motocicleta).";"1884427208";"https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-entrega-y-recibo-de-equipos/1884427208"
"80";"Supervisor de entrega y recibo de equipos";"$1,5 a $2 millones";"Supervisor de entrega y recibo de equipos";"Cartagena";"1";" 31 Mar 2020";"1 año de experiencia";"Contrato Indefinido";"Administración: servicios generales";"Técnico en Gestión Empresarial";"Auxiliar, asistencial y otros";"Transporte";"Técnico Laboral";"";"Organización requiere personal técnico o tecnólogo con experiencia en trabajo de campo y en horarios de turnos rotativos, domino de equipos de comunicación, sistemas de información y administración, gestión y recepción de documentos.
*Indispensable contar con Licencia de conducción A1 ó A2, (Motocicleta).";"1884427208";"https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-entrega-y-recibo-de-equipos/1884427208"
"81";"Asesor comercial bancario";"Salario a convenir";"Asesor comercial bancario";"Cartagena";"1";" 26 Mar 2020";"Menos de un año de experiencia";"Contrato Por obra o labor";"Administrativa y Financiera";"Contaduría";"Auxiliar, asistencial y otros";"Financiero";"Técnico Laboral";"";"importante empresa del sector financiero requiere asesor comercial para horario adicional en la ciudad de Cartagena técnicos o tecnologos en carreras afines al sector financiero, o en caso de adelantar algún programa de educación superior, preferiblemente que este cursando los primeros semestres (I-V) y que se encuentren afín al sector financiero (Ej: administración de empresas, contaduría publica, economía). tener conocimiento básico en paquete office, habilidades de comunicación efectiva y clara, establecimiento de relaciones productivas, actitud de servicio con una experiencia mínima de 6 meses en el cargo (no es indispensable)";"1884492044";"https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-bancario/1884492044"
"82";"Interventor civil";"$4 a $4,5 millones";"Interventor civil";"Toda Colombia";"1";" 3 Abr 2020";"5 años de experiencia";"Contrato Por obra o labor";"Proyectos (análisis, desarrollo,...";"Ingeniería civil";"Profesional Senior";"Consultorías / Asesorías";"Universitaria";"";"""Profesionales de ingeniería civil con experiencia general no menor de ocho
(8) años y experiencia específica de cinco (5) años mínimo como inspector de obra o interventoría de construcción de infraestructura de acueducto o alcantarillado.""
""Dentro de la experiencia específica debe demostrar haber participado como Inspector de obra o interventoría en por lo menos un (1) proyecto que incluya la construcción de tuberías con diámetros iguales o superiores a 36” en una longitud no menor a 5 kilómetros o un (1) proyecto que incluya el suministro e instalación de equipos mecánicos, eléctricos, de instrumentación y control para estaciones de bombeo de agua potable o centrales hidroeléctricas con una capacidad total superior de 6 MW o Un
(1) proyecto que incluya la construcción de estructuras hidráulicas con un
volumen de concreto mayor a 1800 m3.""";"1884495794";"https://www.elempleo.com/co/ofertas-trabajo/interventor-civil/1884495794"
"83";"Jefe de call center";"$4 a $4,5 millones";"Jefe de call center";"Cartagena";"1";" 3 Abr 2020";"3 años de experiencia";"1884495840";"Comercial, Ventas y Telemercadeo";"Economía";"Profesional";"Consumo masivo";"Universitaria";"";"Importante Cadena de Supermercados en la Ciudad de Cartagena requiere un experto en call center para liderar esta área, diseñando estrategias comerciales, gestionando el desempeño de los operadores de su equipo asegurando el cumplimiento de los objetivos del servicio, supervisando y controlando la gestión del equipo de agentes de call center, así como del cumplimiento de sus objetivos y funciones, analizando los indicadores de gestión a su cargo. Debe ser profesional en carreras administrativas. Indispensable experiencia liderando centros y/o equipos de call center. Conocimientos en herramientas de marketing y ventas.";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/jefe-de-call-center/1884495840"
"84";"Interventor civil";"$4 a $4,5 millones";"Interventor civil";"Toda Colombia";"1";" 3 Abr 2020";"5 años de experiencia";"Contrato Por obra o labor";"Proyectos (análisis, desarrollo,...";"Ingeniería civil";"Profesional Senior";"Consultorías / Asesorías";"Universitaria";"";"""Profesionales de ingeniería civil con experiencia general no menor de ocho
(8) años y experiencia específica de cinco (5) años mínimo como inspector de obra o interventoría de construcción de infraestructura de acueducto o alcantarillado.""
""Dentro de la experiencia específica debe demostrar haber participado como Inspector de obra o interventoría en por lo menos un (1) proyecto que incluya la construcción de tuberías con diámetros iguales o superiores a 36” en una longitud no menor a 5 kilómetros o un (1) proyecto que incluya el suministro e instalación de equipos mecánicos, eléctricos, de instrumentación y control para estaciones de bombeo de agua potable o centrales hidroeléctricas con una capacidad total superior de 6 MW o Un
(1) proyecto que incluya la construcción de estructuras hidráulicas con un
volumen de concreto mayor a 1800 m3.""";"1884495794";"https://www.elempleo.com/co/ofertas-trabajo/interventor-civil/1884495794"
"85";"Analista de crédito en sibundoy";"Menos de $1 millón";"Analista de crédito en sibundoy";"Toda Colombia";"1";" 3 Abr 2020";"Menos de un año de experiencia";"Contrato Indefinido";"Administrativa y Financiera";"Comercio internacional";"Profesional Junior";"NULL";"Técnico Laboral";"";"En el Banco W buscamos hombres y mujeres con pasión, calidad humana, amor por el servicio; personas que nos ayuden a convertir en realidad los sueños de los colombianos, por que cambiar vidas es nuestra misión únete a este reto como Analista de Crédito. Ofreciendo créditos a las diferentes personas micro empresarias. Para participar es importante que seas técnico, tecnólogo, debes tener experiencia mínima de 6 meses en ventas de productos y servicios bancarios, con facilidad para cerrar negocios, conseguir clientes y recuperar cartera. Labor totalmente externa, es importante tener medio de transporte; los primeros 4 meses, el contrato será a través de una empresa temporal con sus prestaciones sociales, salario mínimo +comisiones +rodamiento, al quinto mes si tienes buenos resultados, esperamos vincularlos al banco con salario base de 1.484.200+comisiones+rodamiento+prima extra legal al año. Horario de lunes a viernes de 7:30 am a 6:00 pm y sábados medio tiempo de 8:00 AM a 12:00 PM.";"1884495917";"https://www.elempleo.com/co/ofertas-trabajo/analista-de-credito-en-sibundoy/1884495917"
"86";"Gerente de sede cartagena";"$2 a $2,5 millones";"Gerente de sede cartagena";"Cartagena";"1";" 2 Abr 2020";"3 años de experiencia";"Contrato Por obra o labor";"Comercial, Ventas y Telemercadeo";"Ingeniería industrial";"Profesional";"NULL";"Universitaria";"";"Importante empresa del sector de servicios, requiere para su equipo de trabajo, profesional en Administración de Empresas, Ingeniería Industrial, Economía, Mercadeo o carreras afines con experiencia mínima reciente de tres años en el área comercial - administrativa, preferiblemente del sector de servicios; liderando equipos de trabajo mínimo de 12 personas, manejo de presupuestos, indicadores, informes, estadísticas, seguimiento a ventas, estrategias comerciales, servicio al cliente y todo lo inherente al área operativa y comercial para trabajar en la ciudad de Cartagena. Asignación salarial básica de $2.300.000 más todas las prestaciones sociales de ley, más variables por cumplimiento. Si considera que cumple con la totalidad del perfil y está de acuerdo con las condiciones aplicar a la oferta.";"1884495463";"https://www.elempleo.com/co/ofertas-trabajo/gerente-de-sede-cartagena/1884495463"
"87";"Administrador cartagena";"$3 a $3,5 millones";"Administrador cartagena";"Cartagena";"1";" 2 Abr 2020";"3 años de experiencia";"Contrato Indefinido";"Salud";"Administración de empresas";"Profesional";"Salud";"Especialización";"";"Multinacional especializada en dialisis requiere ADMINISTRADOR para administrar unidad renal en la ciudad de Cartagena , debe tener experiencia de 3 años en sala de hemodialisis y conocimientos de diálisis peritoneal, competencias como lider, excelente trabajo en equipo. contrato a termino indefinido directo por la empresa.";"1884495181";"https://www.elempleo.com/co/ofertas-trabajo/administrador-cartagena/1884495181"
"88";"Director zonal medico - cartagena 220121";"$5,5 a $6 millones";"Director zonal medico - cartagena 220121";"Cartagena";"1";" 2 Abr 2020";"4 años de experiencia";"1884495414";"Comercial, Ventas y Telemercadeo";"Medicina";"Coordinador supervisor o especialista";"Salud";"Especialización";"";"Importante empresa del Sector Salud requiere Director Zonal Medico, profesional en medicina con especialización en gerencia de salud, administración en salud o afines. Experiencia mínima de cuatro (4) años en administración del recurso humano, administración en EPS, responder por resultados en salud en términos de calidad, costo y riesgo; relación y negociación con prestadores de servicios de salud de la zona e implementación de estrategias de mejoramiento continuo. Tipo de contrato: Indefinido. Salario: $ 6.051.000";"NULL";"https://www.elempleo.com/co/ofertas-trabajo/director-zonal-medico-cartagena-/1884495414"
"89";"Coordinador de transporte cartagena";"$2 a $2,5 millones";"Coordinador de transporte cartagena";"Cartagena";"1";" 2 Abr 2020";"2 años de experiencia";"Contrato Indefinido";"Distribución o logística de Tran...";"Ingeniería industrial";"Profesional";"NULL";"Tecnológica";"";"Tecnólogo en logística o preferiblemente profesional en Logística , Ingeniería Industrial o Administración de empresas con experiencia de 2 años en transporte de carga a Nivel Nacional , debe contar con conocimientos en normatividad legal de transporte, ubicacion geográfica , negociacion de fletes, contar con base de datos para consecucion vehicular, manejo de transportadores terceros y propios, pagos a transportadores , costos y eficiencias de la operacion de transporte, anticipos, facturacion e indicadores de gestion diaria de la operacion.";"1884378669";"https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-transporte-cartagena/1884378669"
